station_name,month,gated_entries,route_or_line,year
Airport,April,157973.0,Blue Line,2023
Airport,August,285603.0,Blue Line,2023
Airport,December,159399.0,Blue Line,2023
Airport,February,133327.0,Blue Line,2023
Airport,January,151772.0,Blue Line,2023
Airport,July,260666.0,Blue Line,2023
Airport,June,214959.0,Blue Line,2023
Airport,March,163063.0,Blue Line,2023
Airport,May,178937.0,Blue Line,2023
Airport,November,179744.0,Blue Line,2023
Airport,October,202543.0,Blue Line,2023
Airport,September,186919.0,Blue Line,2023
Alewife,April,101458.0,Red Line,2023
Alewife,August,131551.0,Red Line,2023
Alewife,December,105286.0,Red Line,2023
Alewife,February,14102.0,Red Line,2023
Alewife,January,111970.0,Red Line,2023
Alewife,July,150827.0,Red Line,2023
Alewife,June,130847.0,Red Line,2023
Alewife,March,17310.0,Red Line,2023
Alewife,May,121794.0,Red Line,2023
Alewife,November,105354.0,Red Line,2023
Alewife,October,120851.0,Red Line,2023
Alewife,September,145340.0,Red Line,2023
Andrew,April,77650.0,Red Line,2023
Andrew,August,88763.0,Red Line,2023
Andrew,December,73282.0,Red Line,2023
Andrew,February,78505.0,Red Line,2023
Andrew,January,81610.0,Red Line,2023
Andrew,July,84110.0,Red Line,2023
Andrew,June,87151.0,Red Line,2023
Andrew,March,87017.0,Red Line,2023
Andrew,May,80232.0,Red Line,2023
Andrew,November,76219.0,Red Line,2023
Andrew,October,81198.0,Red Line,2023
Andrew,September,80526.0,Red Line,2023
Aquarium,April,82054.0,Blue Line,2023
Aquarium,August,148728.0,Blue Line,2023
Aquarium,December,83589.0,Blue Line,2023
Aquarium,February,60430.0,Blue Line,2023
Aquarium,January,50237.0,Blue Line,2023
Aquarium,July,160219.0,Blue Line,2023
Aquarium,June,131879.0,Blue Line,2023
Aquarium,March,81095.0,Blue Line,2023
Aquarium,May,96193.0,Blue Line,2023
Aquarium,November,84686.0,Blue Line,2023
Aquarium,October,91160.0,Blue Line,2023
Aquarium,September,92326.0,Blue Line,2023
Arlington,April,113691.0,Green Line,2023
Arlington,August,93630.0,Green Line,2023
Arlington,December,59276.0,Green Line,2023
Arlington,February,80299.0,Green Line,2023
Arlington,January,85082.0,Green Line,2023
Arlington,July,94206.0,Green Line,2023
Arlington,June,102149.0,Green Line,2023
Arlington,March,95418.0,Green Line,2023
Arlington,May,107591.0,Green Line,2023
Arlington,November,78527.0,Green Line,2023
Arlington,October,98630.0,Green Line,2023
Arlington,September,93839.0,Green Line,2023
Ashmont,April,100038.0,Red Line,2023
Ashmont,August,103790.0,Red Line,2023
Ashmont,December,90609.0,Red Line,2023
Ashmont,February,100452.0,Red Line,2023
Ashmont,January,104687.0,Red Line,2023
Ashmont,July,98463.0,Red Line,2023
Ashmont,June,104253.0,Red Line,2023
Ashmont,March,113765.0,Red Line,2023
Ashmont,May,103077.0,Red Line,2023
Ashmont,November,93935.0,Red Line,2023
Ashmont,October,48265.0,Red Line,2023
Ashmont,September,100134.0,Red Line,2023
Assembly,April,66740.0,Orange Line,2023
Assembly,August,80972.0,Orange Line,2023
Assembly,December,74303.0,Orange Line,2023
Assembly,February,53302.0,Orange Line,2023
Assembly,January,59189.0,Orange Line,2023
Assembly,July,65048.0,Orange Line,2023
Assembly,June,77028.0,Orange Line,2023
Assembly,March,63587.0,Orange Line,2023
Assembly,May,69551.0,Orange Line,2023
Assembly,November,74310.0,Orange Line,2023
Assembly,October,86144.0,Orange Line,2023
Assembly,September,78245.0,Orange Line,2023
Back Bay,April,168375.0,Orange Line,2023
Back Bay,August,197526.0,Orange Line,2023
Back Bay,December,160118.0,Orange Line,2023
Back Bay,February,143208.0,Orange Line,2023
Back Bay,January,159368.0,Orange Line,2023
Back Bay,July,187193.0,Orange Line,2023
Back Bay,June,182470.0,Orange Line,2023
Back Bay,March,176448.0,Orange Line,2023
Back Bay,May,176747.0,Orange Line,2023
Back Bay,November,170444.0,Orange Line,2023
Back Bay,October,238675.0,Orange Line,2023
Back Bay,September,203329.0,Orange Line,2023
Ball Square,April,25470.832993,Green Line,2023
Ball Square,August,15741.666335,Green Line,2023
Ball Square,December,11229.166374,Green Line,2023
Ball Square,February,21712.499684,Green Line,2023
Ball Square,January,26841.666313,Green Line,2023
Ball Square,July,17316.666326,Green Line,2023
Ball Square,June,13958.333084,Green Line,2023
Ball Square,March,26683.332988,Green Line,2023
Ball Square,May,23829.166293,Green Line,2023
Ball Square,November,13999.999678,Green Line,2023
Ball Square,October,15470.832992,Green Line,2023
Ball Square,September,15437.499636,Green Line,2023
Beachmont,April,64893.0,Blue Line,2023
Beachmont,August,91949.0,Blue Line,2023
Beachmont,December,66807.0,Blue Line,2023
Beachmont,February,58287.0,Blue Line,2023
Beachmont,January,63782.0,Blue Line,2023
Beachmont,July,82800.0,Blue Line,2023
Beachmont,June,83930.0,Blue Line,2023
Beachmont,March,69601.0,Blue Line,2023
Beachmont,May,75473.0,Blue Line,2023
Beachmont,November,72218.0,Blue Line,2023
Beachmont,October,81158.0,Blue Line,2023
Beachmont,September,75645.0,Blue Line,2023
Bowdoin,April,36979.0,Blue Line,2023
Bowdoin,August,61150.0,Blue Line,2023
Bowdoin,December,36904.0,Blue Line,2023
Bowdoin,February,33924.0,Blue Line,2023
Bowdoin,January,36754.0,Blue Line,2023
Bowdoin,July,56982.0,Blue Line,2023
Bowdoin,June,48314.0,Blue Line,2023
Bowdoin,March,41045.0,Blue Line,2023
Bowdoin,May,40996.0,Blue Line,2023
Bowdoin,November,41351.0,Blue Line,2023
Bowdoin,October,44374.0,Blue Line,2023
Bowdoin,September,43997.0,Blue Line,2023
Boylston,April,130679.0,Green Line,2023
Boylston,August,106549.0,Green Line,2023
Boylston,December,45114.0,Green Line,2023
Boylston,February,106714.0,Green Line,2023
Boylston,January,103720.0,Green Line,2023
Boylston,July,94118.0,Green Line,2023
Boylston,June,96868.0,Green Line,2023
Boylston,March,121424.0,Green Line,2023
Boylston,May,114485.0,Green Line,2023
Boylston,November,99404.0,Green Line,2023
Boylston,October,122053.0,Green Line,2023
Boylston,September,122292.0,Green Line,2023
Braintree,April,38759.0,Red Line,2023
Braintree,August,35120.0,Red Line,2023
Braintree,December,40167.0,Red Line,2023
Braintree,February,46634.0,Red Line,2023
Braintree,January,51700.0,Red Line,2023
Braintree,July,37044.0,Red Line,2023
Braintree,June,40502.0,Red Line,2023
Braintree,March,49278.0,Red Line,2023
Braintree,May,37299.0,Red Line,2023
Braintree,November,41473.0,Red Line,2023
Braintree,October,44731.0,Red Line,2023
Braintree,September,37767.0,Red Line,2023
Broadway,April,74710.0,Red Line,2023
Broadway,August,86048.0,Red Line,2023
Broadway,December,73367.0,Red Line,2023
Broadway,February,78064.0,Red Line,2023
Broadway,January,82755.0,Red Line,2023
Broadway,July,82519.0,Red Line,2023
Broadway,June,85044.0,Red Line,2023
Broadway,March,87018.0,Red Line,2023
Broadway,May,76765.0,Red Line,2023
Broadway,November,76610.0,Red Line,2023
Broadway,October,84524.0,Red Line,2023
Broadway,September,81492.0,Red Line,2023
Central,April,207163.0,Red Line,2023
Central,August,202243.0,Red Line,2023
Central,December,180622.0,Red Line,2023
Central,February,187450.0,Red Line,2023
Central,January,211876.0,Red Line,2023
Central,July,205637.0,Red Line,2023
Central,June,185703.0,Red Line,2023
Central,March,208380.0,Red Line,2023
Central,May,218986.0,Red Line,2023
Central,November,187766.0,Red Line,2023
Central,October,220603.0,Red Line,2023
