State,Year,Median Monthly Owner Costs (Mortgage),Median Gross Rent,Median Income
Mississippi,2015,1083,724,40593
Missouri,2015,1200,763,50238
Montana,2015,1316,763,49509
Nebraska,2015,1269,750,54996
Nevada,2015,1396,980,52431
New Hampshire,2015,1828,1017,70303
New Jersey,2015,2349,1214,72222
New Mexico,2015,1214,783,45382
New York,2015,2009,1173,60850
North Carolina,2015,1234,827,47830
North Dakota,2015,1297,775,60557
Ohio,2015,1228,746,51075
Oklahoma,2015,1159,759,48568
Oregon,2015,1534,943,54148
Pennsylvania,2015,1414,868,55702
Rhode Island,2015,1730,938,58073
South Carolina,2015,1168,819,47238
South Dakota,2015,1225,675,53017
Tennessee,2015,1167,785,47275
Texas,2015,1453,932,55653
Vermont,2015,1530,923,56990
Utah,2015,1408,925,62912
Virginia,2015,1692,1144,66262
Washington,2015,1704,1080,64129
West Virginia,2015,972,675,42019
Wisconsin,2015,1359,792,55638
Wyoming,2015,1364,815,60214
Puerto Rico,2015,864,433,18626
Alabama,2015,1124,729,44765
Alaska,2015,1817,1163,73355
Arizona,2015,1319,933,51492
Arkansas,2015,1029,695,41995
California,2015,2123,1311,64500
Colorado,2015,1558,1111,63909
Delaware,2015,1506,1049,61255
District of Columbia,2015,2312,1417,75628
Connecticut,2015,2020,1108,71346
Florida,2015,1394,1046,49426
Georgia,2015,1299,909,51244
Idaho,2015,1170,770,48275
Hawaii,2015,2248,1500,73486
Illinois,2015,1588,936,59588
Indiana,2015,1089,758,50532
Iowa,2015,1170,718,54736
Kansas,2015,1279,782,53906
Kentucky,2015,1089,702,45215
Louisiana,2015,1219,800,45727
Maine,2015,1340,792,51494
Maryland,2015,1909,1278,75847
Massachusetts,2015,2048,1164,70628
Michigan,2015,1220,803,51084
Minnesota,2015,1459,888,63488
Mississippi,2016,1087,728,41754
Missouri,2016,1210,771,51746
Montana,2016,1327,741,50027
Nebraska,2016,1290,769,56927
Nevada,2016,1401,1003,55180
New Hampshire,2016,1821,1026,70936
New Jersey,2016,2343,1244,76126
New Mexico,2016,1210,804,46748
New York,2016,2020,1194,62909
North Carolina,2016,1225,839,50584
North Dakota,2016,1318,776,60656
Ohio,2016,1211,759,52334
Oklahoma,2016,1168,744,49176
Oregon,2016,1572,1015,57532
Pennsylvania,2016,1416,881,56907
Rhode Island,2016,1740,948,60596
South Carolina,2016,1182,841,49501
South Dakota,2016,1239,706,54467
Tennessee,2016,1172,806,48547
Texas,2016,1469,956,56565
Vermont,2016,1507,925,57677
Utah,2016,1437,954,65977
Virginia,2016,1692,1159,68114
Washington,2016,1727,1135,67106
West Virginia,2016,997,682,43385
Wisconsin,2016,1348,802,56811
Wyoming,2016,1367,840,59882
Puerto Rico,2016,846,463,20078
Alabama,2016,1126,743,46257
Alaska,2016,1851,1208,76440
Arizona,2016,1328,976,53558
Arkansas,2016,1017,701,44334
California,2016,2188,1375,67739
Colorado,2016,1597,1171,65685
Delaware,2016,1463,1048,61757
District of Columbia,2016,2422,1376,75506
Connecticut,2016,1997,1115,73433
Florida,2016,1410,1086,50860
Georgia,2016,1336,933,53559
Idaho,2016,1168,790,51807
Hawaii,2016,2239,1483,74511
Illinois,2016,1588,950,60960
Indiana,2016,1070,768,52314
Iowa,2016,1186,741,56247
Kansas,2016,1264,789,54935
Kentucky,2016,1111,707,46659
Louisiana,2016,1214,808,45146
Maine,2016,1328,797,53079
Maryland,2016,1918,1314,78945
Massachusetts,2016,2069,1179,75297
Michigan,2016,1215,818,52492
Minnesota,2016,1472,912,65599
Mississippi,2017,1090,742,43529
Missouri,2017,1207,800,53578
Montana,2017,1367,759,53386
Nebraska,2017,1334,801,59970
Nevada,2017,1428,1051,58003
New Hampshire,2017,1874,1072,73381
New Jersey,2017,2348,1284,80088
New Mexico,2017,1244,813,46744
New York,2017,2036,1226,64894
North Carolina,2017,1242,861,52752
North Dakota,2017,1356,785,61843
Ohio,2017,1214,772,54021
Oklahoma,2017,1183,780,50051
Oregon,2017,1629,1079,60212
Pennsylvania,2017,1438,893,59195
Rhode Island,2017,1782,941,63870
South Carolina,2017,1195,848,50570
South Dakota,2017,1283,722,56521
Tennessee,2017,1184,833,51340
Texas,2017,1513,987,59206
Vermont,2017,1527,950,57513
Utah,2017,1467,986,68358
Virginia,2017,1718,1179,71535
Washington,2017,1806,1216,70979
West Virginia,2017,984,690,43469
Wisconsin,2017,1358,819,59305
Wyoming,2017,1386,832,60434
Puerto Rico,2017,828,453,19343
Alabama,2017,1123,750,48123
Alaska,2017,1844,1201,73181
Arizona,2017,1365,1020,56581
Arkansas,2017,1025,711,45869
California,2017,2269,1447,71805
Colorado,2017,1681,1240,69117
Delaware,2017,1507,1086,62852
District of Columbia,2017,2432,1499,82372
Connecticut,2017,1976,1125,74168
Florida,2017,1423,1128,52594
Georgia,2017,1341,958,56183
Idaho,2017,1213,822,52225
Hawaii,2017,2337,1573,77765
Illinois,2017,1603,974,62992
Indiana,2017,1089,793,54181
Iowa,2017,1205,760,58570
Kansas,2017,1314,815,56422
Kentucky,2017,1123,724,48375
Louisiana,2017,1233,836,46145
Maine,2017,1313,806,56277
Maryland,2017,1915,1337,80776
Massachusetts,2017,2108,1208,77385
Michigan,2017,1231,835,54909
Minnesota,2017,1500,939,68388
Wisconsin,2018,1387,847,60773
Wyoming,2018,1440,818,61584
Puerto Rico,2018,851,484,20296
Mississippi,2018,1132,777,44717
Missouri,2018,1249,830,54478
Montana,2018,1413,811,55328
Nebraska,2018,1353,830,59566
Nevada,2018,1528,1108,58646
New Hampshire,2018,1892,1090,74991
New Jersey,2018,2398,1336,81740
New Mexico,2018,1234,830,47169
New York,2018,2098,1274,67844
North Carolina,2018,1284,900,53855
