station_name,month,gated_entries,route_or_line,year,station
Airport,April,157973.0,Blue Line,2023,East_Boston
Airport,August,285603.0,Blue Line,2023,East_Boston
Airport,December,159399.0,Blue Line,2023,East_Boston
Airport,February,133327.0,Blue Line,2023,East_Boston
Airport,January,151772.0,Blue Line,2023,East_Boston
Airport,July,260666.0,Blue Line,2023,East_Boston
Airport,June,214959.0,Blue Line,2023,East_Boston
Airport,March,163063.0,Blue Line,2023,East_Boston
Airport,May,178937.0,Blue Line,2023,East_Boston
Airport,November,179744.0,Blue Line,2023,East_Boston
Airport,October,202543.0,Blue Line,2023,East_Boston
Airport,September,186919.0,Blue Line,2023,East_Boston
Alewife,April,101458.0,Red Line,2023,North_Cambridge
Alewife,August,131551.0,Red Line,2023,North_Cambridge
Alewife,December,105286.0,Red Line,2023,North_Cambridge
Alewife,February,14102.0,Red Line,2023,North_Cambridge
Alewife,January,111970.0,Red Line,2023,North_Cambridge
Alewife,July,150827.0,Red Line,2023,North_Cambridge
Alewife,June,130847.0,Red Line,2023,North_Cambridge
Alewife,March,17310.0,Red Line,2023,North_Cambridge
Alewife,May,121794.0,Red Line,2023,North_Cambridge
Alewife,November,105354.0,Red Line,2023,North_Cambridge
Alewife,October,120851.0,Red Line,2023,North_Cambridge
Alewife,September,145340.0,Red Line,2023,North_Cambridge
Andrew,April,77650.0,Red Line,2023,South_Boston
Andrew,August,88763.0,Red Line,2023,South_Boston
Andrew,December,73282.0,Red Line,2023,South_Boston
Andrew,February,78505.0,Red Line,2023,South_Boston
Andrew,January,81610.0,Red Line,2023,South_Boston
Andrew,July,84110.0,Red Line,2023,South_Boston
Andrew,June,87151.0,Red Line,2023,South_Boston
Andrew,March,87017.0,Red Line,2023,South_Boston
Andrew,May,80232.0,Red Line,2023,South_Boston
Andrew,November,76219.0,Red Line,2023,South_Boston
Andrew,October,81198.0,Red Line,2023,South_Boston
Andrew,September,80526.0,Red Line,2023,South_Boston
Aquarium,April,82054.0,Blue Line,2023,Downtown
Aquarium,August,148728.0,Blue Line,2023,Downtown
Aquarium,December,83589.0,Blue Line,2023,Downtown
Aquarium,February,60430.0,Blue Line,2023,Downtown
Aquarium,January,50237.0,Blue Line,2023,Downtown
Aquarium,July,160219.0,Blue Line,2023,Downtown
Aquarium,June,131879.0,Blue Line,2023,Downtown
Aquarium,March,81095.0,Blue Line,2023,Downtown
Aquarium,May,96193.0,Blue Line,2023,Downtown
Aquarium,November,84686.0,Blue Line,2023,Downtown
Aquarium,October,91160.0,Blue Line,2023,Downtown
Aquarium,September,92326.0,Blue Line,2023,Downtown
Arlington,April,113691.0,Green Line,2023,Back_Bay
Arlington,August,93630.0,Green Line,2023,Back_Bay
Arlington,December,59276.0,Green Line,2023,Back_Bay
