Neighborhood,0-18,19-34,35-60,65+
Allston,3.84,79.98,11.98,4.20
Back Bay ,6.57,47.22,27.52,18.69
Beacon Hill ,8.93,47.31,26.33,17.43
Brighton,9.54,55.39,20.77,14.30
Charlestown,19.98,29.11,34.31,16.61
Dorchester,22.16,30.93,30.64,16.27
Downtown,8.23,45.06,26.89,19.81
East Boston,19.41,33.38,34.42,12.78
Fenway,2.09,79.33,11.89,6.69
Hyde Park,21.29,22.68,34.41,21.62
Jamaica Plain,16.20,34.16,32.76,16.88
Longwood,0.95,96.65,1.21,1.18
Mattapan,24.64,23.10,33.88,18.39
Mission Hill ,8.54,57.65,18.19,15.62
North End ,5.82,59.74,20.78,13.66
Roslindale,19.92,22.87,37.39,19.83
Roxbury,21.87,32.73,28.74,16.66
South Boston,12.68,46.89,27.75,12.68
South Boston Waterfront,4.29,47.26,35.11,13.33
South End ,12.17,34.97,33.53,19.33
West End ,6.38,39.96,32.75,20.91
West Roxbury,20.57,19.03,33.35,27.05
