State,Year,Median Monthly Owner Costs (Mortgage),Median Gross Rent,Median Income,Mortgage/Income (%),Rent/Income (%)
Mississippi,2015,1083,724,40593,32.02,21.4
Missouri,2015,1200,763,50238,28.66,18.23
Montana,2015,1316,763,49509,31.9,18.49
Nebraska,2015,1269,750,54996,27.69,16.36
Nevada,2015,1396,980,52431,31.95,22.43
New Hampshire,2015,1828,1017,70303,31.2,17.36
New Jersey,2015,2349,1214,72222,39.03,20.17
New Mexico,2015,1214,783,45382,32.1,20.7
New York,2015,2009,1173,60850,39.62,23.13
North Carolina,2015,1234,827,47830,30.96,20.75
North Dakota,2015,1297,775,60557,25.7,15.36
Ohio,2015,1228,746,51075,28.85,17.53
Oklahoma,2015,1159,759,48568,28.64,18.75
Oregon,2015,1534,943,54148,34.0,20.9
Pennsylvania,2015,1414,868,55702,30.46,18.7
Rhode Island,2015,1730,938,58073,35.75,19.38
South Carolina,2015,1168,819,47238,29.67,20.81
South Dakota,2015,1225,675,53017,27.73,15.28
Tennessee,2015,1167,785,47275,29.62,19.93
Texas,2015,1453,932,55653,31.33,20.1
Vermont,2015,1530,923,56990,32.22,19.43
Utah,2015,1408,925,62912,26.86,17.64
Virginia,2015,1692,1144,66262,30.64,20.72
Washington,2015,1704,1080,64129,31.89,20.21
West Virginia,2015,972,675,42019,27.76,19.28
Wisconsin,2015,1359,792,55638,29.31,17.08
Wyoming,2015,1364,815,60214,27.18,16.24
Puerto Rico,2015,864,433,18626,55.66,27.9
Alabama,2015,1124,729,44765,30.13,19.54
Alaska,2015,1817,1163,73355,29.72,19.03
Arizona,2015,1319,933,51492,30.74,21.74
Arkansas,2015,1029,695,41995,29.4,19.86
California,2015,2123,1311,64500,39.5,24.39
Colorado,2015,1558,1111,63909,29.25,20.86
Delaware,2015,1506,1049,61255,29.5,20.55
District of Columbia,2015,2312,1417,75628,36.68,22.48
Connecticut,2015,2020,1108,71346,33.98,18.64
Florida,2015,1394,1046,49426,33.84,25.4
Georgia,2015,1299,909,51244,30.42,21.29
Idaho,2015,1170,770,48275,29.08,19.14
Hawaii,2015,2248,1500,73486,36.71,24.49
Illinois,2015,1588,936,59588,31.98,18.85
Indiana,2015,1089,758,50532,25.86,18.0
Iowa,2015,1170,718,54736,25.65,15.74
Kansas,2015,1279,782,53906,28.47,17.41
Kentucky,2015,1089,702,45215,28.9,18.63
Louisiana,2015,1219,800,45727,31.99,20.99
Maine,2015,1340,792,51494,31.23,18.46
Maryland,2015,1909,1278,75847,30.2,20.22
Massachusetts,2015,2048,1164,70628,34.8,19.78
Michigan,2015,1220,803,51084,28.66,18.86
Minnesota,2015,1459,888,63488,27.58,16.78
Mississippi,2016,1087,728,41754,31.24,20.92
Missouri,2016,1210,771,51746,28.06,17.88
Montana,2016,1327,741,50027,31.83,17.77
Nebraska,2016,1290,769,56927,27.19,16.21
Nevada,2016,1401,1003,55180,30.47,21.81
New Hampshire,2016,1821,1026,70936,30.81,17.36
New Jersey,2016,2343,1244,76126,36.93,19.61
New Mexico,2016,1210,804,46748,31.06,20.64
New York,2016,2020,1194,62909,38.53,22.78
North Carolina,2016,1225,839,50584,29.06,19.9
North Dakota,2016,1318,776,60656,26.07,15.35
Ohio,2016,1211,759,52334,27.77,17.4
Oklahoma,2016,1168,744,49176,28.5,18.16
Oregon,2016,1572,1015,57532,32.79,21.17
Pennsylvania,2016,1416,881,56907,29.86,18.58
Rhode Island,2016,1740,948,60596,34.46,18.77
South Carolina,2016,1182,841,49501,28.65,20.39
South Dakota,2016,1239,706,54467,27.3,15.55
Tennessee,2016,1172,806,48547,28.97,19.92
Texas,2016,1469,956,56565,31.16,20.28
Vermont,2016,1507,925,57677,31.35,19.25
Utah,2016,1437,954,65977,26.14,17.35
Virginia,2016,1692,1159,68114,29.81,20.42
Washington,2016,1727,1135,67106,30.88,20.3
West Virginia,2016,997,682,43385,27.58,18.86
Wisconsin,2016,1348,802,56811,28.47,16.94
Wyoming,2016,1367,840,59882,27.39,16.83
Puerto Rico,2016,846,463,20078,50.56,27.67
Alabama,2016,1126,743,46257,29.21,19.27
Alaska,2016,1851,1208,76440,29.06,18.96
Arizona,2016,1328,976,53558,29.75,21.87
Arkansas,2016,1017,701,44334,27.53,18.97
California,2016,2188,1375,67739,38.76,24.36
Colorado,2016,1597,1171,65685,29.18,21.39
Delaware,2016,1463,1048,61757,28.43,20.36
District of Columbia,2016,2422,1376,75506,38.49,21.87
Connecticut,2016,1997,1115,73433,32.63,18.22
Florida,2016,1410,1086,50860,33.27,25.62
Georgia,2016,1336,933,53559,29.93,20.9
Idaho,2016,1168,790,51807,27.05,18.3
Hawaii,2016,2239,1483,74511,36.06,23.88
Illinois,2016,1588,950,60960,31.26,18.7
Indiana,2016,1070,768,52314,24.54,17.62
Iowa,2016,1186,741,56247,25.3,15.81
Kansas,2016,1264,789,54935,27.61,17.23
Kentucky,2016,1111,707,46659,28.57,18.18
Louisiana,2016,1214,808,45146,32.27,21.48
Maine,2016,1328,797,53079,30.02,18.02
Maryland,2016,1918,1314,78945,29.15,19.97
Massachusetts,2016,2069,1179,75297,32.97,18.79
Michigan,2016,1215,818,52492,27.78,18.7
Minnesota,2016,1472,912,65599,26.93,16.68
Mississippi,2017,1090,742,43529,30.05,20.46
Missouri,2017,1207,800,53578,27.03,17.92
Montana,2017,1367,759,53386,30.73,17.06
Nebraska,2017,1334,801,59970,26.69,16.03
Nevada,2017,1428,1051,58003,29.54,21.74
New Hampshire,2017,1874,1072,73381,30.65,17.53
New Jersey,2017,2348,1284,80088,35.18,19.24
New Mexico,2017,1244,813,46744,31.94,20.87
New York,2017,2036,1226,64894,37.65,22.67
